,submission_date,state,new_case,caseInterpolate_MA7,caseInterpolate_savitzky31_3,caseInterpolate_gauss8,caseInterpolate_gauss3
797,2020-09-15,HI,98,116.85714285714286,547.8697592244444,120,106
35497,2020-09-16,HI,156,115.28571428571429,551.0564678701668,116,104
37037,2020-09-17,HI,119,108.42857142857143,553.4671000475661,113,102
36055,2020-09-18,HI,112,106.28571428571429,552.7430066366168,111,101
35543,2020-09-19,HI,77,101.0,544.5929239620374,109,99
33999,2020-09-20,HI,55,97.42857142857143,533.8231217015106,107,99
1459,2020-09-21,HI,64,97.28571428571429,527.5603297922942,105,99
3150,2020-09-22,HI,167,107.14285714285714,530.5728782078867,104,101
3759,2020-09-23,HI,90,97.71428571428571,535.3698838025775,102,102
844,2020-09-24,HI,111,96.57142857142857,533.3511970826065,101,103
2381,2020-09-25,HI,127,98.71428571428571,532.3992162902896,100,104
3064,2020-09-26,HI,95,101.28571428571429,528.7391333892045,99,103
792,2020-09-27,HI,90,106.28571428571429,522.0265011665041,98,102
5445,2020-09-28,HI,85,109.28571428571429,520.8515481664363,96,101
1126,2020-09-29,HI,121,102.71428571428571,525.7912296994268,95,99
32942,2020-09-30,HI,107,105.14285714285714,538.0185961176921,94,97
1127,2020-10-01,HI,86,101.57142857142857,533.9685610093092,93,95
37013,2020-10-02,HI,133,102.42857142857143,545.1889737026886,92,92
32776,2020-10-03,HI,69,98.71428571428571,537.4518562141836,91,89
35523,2020-10-04,HI,51,93.14285714285714,530.7827130852339,90,87
37319,2020-10-05,HI,81,92.57142857142857,528.7934494552536,89,85
96,2020-10-06,HI,109,90.85714285714286,535.6057668350359,88,84
3471,2020-10-07,HI,101,90.0,549.6788828739041,87,83
36409,2020-10-08,HI,0,77.71428571428571,560.7924075290492,86,83
33003,2020-10-09,HI,153,80.57142857142857,565.0927540827649,85,82
31888,2020-10-10,HI,108,86.14285714285714,567.7573897483519,84,81
1446,2020-10-11,HI,64,88.0,565.6799248001087,84,80
5257,2020-10-12,HI,42,82.42857142857143,571.703073682303,83,79
32193,2020-10-13,HI,61,75.57142857142857,587.6351899250265,83,79
32812,2020-10-14,HI,98,75.14285714285714,601.7087136741487,82,79
2730,2020-10-15,HI,88,87.71428571428571,611.8276065143037,82,79
35753,2020-10-16,HI,89,78.57142857142857,613.7593150467734,82,80
36391,2020-10-17,HI,94,76.57142857142857,623.5051077034586,82,80
32344,2020-10-18,HI,82,79.14285714285714,625.8250016987924,82,80
35369,2020-10-19,HI,35,78.14285714285714,623.7813993521935,82,81
3950,2020-10-20,HI,84,81.42857142857143,643.0975560035334,82,83
34955,2020-10-21,HI,77,78.42857142857143,671.187931776484,82,85
32484,2020-10-22,HI,99,80.0,685.5003057826904,82,86
33134,2020-10-23,HI,128,85.57142857142857,709.1846247933133,82,87
35938,2020-10-24,HI,89,84.85714285714286,711.169177104804,82,86
36286,2020-10-25,HI,117,89.85714285714286,735.3159527962127,83,83
494,2020-10-26,HI,35,89.85714285714286,761.4388547871979,83,80
36824,2020-10-27,HI,62,86.71428571428571,813.1561983283877,83,76
34781,2020-10-28,HI,119,92.71428571428571,878.7000158553986,84,74
33377,2020-10-29,HI,7,79.57142857142857,940.0388683775398,84,73
35388,2020-10-30,HI,92,74.42857142857143,974.0860495141452,85,74
1265,2020-10-31,HI,62,70.57142857142857,1020.1468662936871,86,77
34616,2020-11-01,HI,80,65.28571428571429,1067.1851231058458,86,81
34474,2020-11-02,HI,72,70.57142857142857,1147.997848195882,87,87
5274,2020-11-03,HI,82,73.42857142857143,1215.359170083127,87,92
33575,2020-11-04,HI,150,77.85714285714286,1282.339350834673,88,97
34677,2020-11-05,HI,92,90.0,1323.966952818863,88,100
5195,2020-11-06,HI,113,93.0,1381.643094973838,88,102
36392,2020-11-07,HI,123,101.71428571428571,1442.8340166255177,89,101
32647,2020-11-08,HI,127,108.42857142857143,1458.5200570794352,89,100
37122,2020-11-09,HI,58,106.42857142857143,1499.89148112075,89,97
56,2020-11-10,HI,69,104.57142857142857,1565.0320958572106,89,94
32266,2020-11-11,HI,116,99.71428571428571,1641.3050805227747,89,90
31864,2020-11-12,HI,94,100.0,1699.3872114883686,89,86
4651,2020-11-13,HI,103,98.57142857142857,1753.9695349838044,89,83
33121,2020-11-14,HI,105,96.0,1796.8081723255336,88,79
32536,2020-11-15,HI,0,77.85714285714286,1853.7977077623498,88,77
36532,2020-11-16,HI,92,82.71428571428571,1891.6497542413188,88,76
35468,2020-11-17,HI,44,79.14285714285714,1955.8986387007626,88,78
32526,2020-11-18,HI,62,71.42857142857143,2029.1152913995782,88,82
1526,2020-11-19,HI,100,72.28571428571429,2095.7694851525507,88,87
5246,2020-11-20,HI,89,70.28571428571429,2150.9589571677725,88,92
33220,2020-11-21,HI,153,77.14285714285714,2216.2120772837434,88,96
32034,2020-11-22,HI,120,94.28571428571429,2260.012503114453,88,98
36555,2020-11-23,HI,103,95.85714285714286,2317.829577113864,88,97
2860,2020-11-24,HI,56,97.57142857142857,2372.8307775940557,88,95
4787,2020-11-25,HI,100,103.0,2416.604521053704,88,92
35310,2020-11-26,HI,117,105.42857142857143,2449.7203334163846,89,88
32890,2020-11-27,HI,83,104.57142857142857,2472.2938911413617,89,84
5372,2020-11-28,HI,75,93.42857142857143,2475.6604453101986,89,81
36630,2020-11-29,HI,54,84.0,2493.430451425853,90,80
32460,2020-11-30,HI,81,80.85714285714286,2515.5790391628343,90,80
34305,2020-12-01,HI,43,79.0,2556.6824163627707,91,82
4398,2020-12-02,HI,68,74.42857142857143,2580.3426351672742,92,84
4556,2020-12-03,HI,139,77.57142857142857,2589.4629549933175,93,87
34726,2020-12-04,HI,100,80.0,2578.709868853201,94,90
36263,2020-12-05,HI,111,85.14285714285714,2553.8889216063776,95,91
3102,2020-12-06,HI,97,91.28571428571429,2523.4290470905335,97,91
33733,2020-12-07,HI,78,90.85714285714286,2504.259983238578,98,92
3402,2020-12-08,HI,53,92.28571428571429,2516.872862352487,100,93
35521,2020-12-09,HI,73,93.0,2530.42997576389,102,97
1555,2020-12-10,HI,116,89.71428571428571,2542.1601168769384,104,101
