,stateName,CEN_stateCode,CEN_Bachelor's Degree or Higher,CEN_Employment Rate,CEN_Hispanic or Latino (of any race),CEN_Median Household Income,CEN_Total Employer Establishments,CEN_Total Households,CEN_Total Housing Units,CEN_Total Population,CEN_Unnamed: 0,CEN_Unnamed: 0.1,CEN_Without Health Care Coverage,CP_0_diff,CP_1_diff,CP_2_diff,FD_adminAndFireResponse,FD_fireResponseOnly,FD_lessThan10kCitizens,FD_moreThan10kCitizens,FD_totalFireDepartments,HB_bed_For-Profit,HB_bed_Non-Profit,HB_bed_State/Local Government,HB_bed_Total,OB_Prevalence,S1_people_fully_vaccinated,S1_people_fully_vaccinated_per_hundred,S1_people_vaccinated,S1_people_vaccinated_per_hundred,S2_people_fully_vaccinated,S2_people_fully_vaccinated_per_hundred,S2_people_vaccinated,S2_people_vaccinated_per_hundred,S3_people_fully_vaccinated,S3_people_fully_vaccinated_per_hundred,S3_people_vaccinated,S3_people_vaccinated_per_hundred,S4_people_fully_vaccinated,S4_people_fully_vaccinated_per_hundred,S4_people_vaccinated,S4_people_vaccinated_per_hundred,SP_Governor Political Affiliation,SP_State Attorney General Political Affiliation,SP_State House Majority Political Affiliation,SP_State Senate Majority Political Affiliation
25,Missouri,MO,30.2,59.8,303068,57409,151816,2458337,2786621,6154913,37,0.0,10.0,134,337,602,545,0,545,133,678,0.4,2.18,0.43,3.01,34.0,332996.0,5.43,720372.0,11.74,2065529.0,33.65,2545329.0,41.47,2575288.0,41.96,3054804.0,49.77,3073465.0,50.08,3519135.0,57.34,0,0,0,0
26,Montana,MT,33.6,59.8,45199,57153,38959,437651,514803,1084225,20,0.0,8.3,111,341,661,313,5,318,29,347,0.22,3.04,0.12,3.38,28.5,48739.0,4.56,127657.0,11.94,398098.0,37.25,472146.0,44.18,479129.0,44.83,539350.0,50.46,547077.0,51.19,620882.0,58.09,0,0,0,0
27,Nebraska,NE,33.2,66.8,234715,63229,54939,771444,844278,1961504,21,0.0,8.3,146,340,636,446,0,446,22,468,0.13,2.99,0.0,3.12,34.0,59985.0,3.1,157139.0,8.12,791775.0,40.93,910797.0,47.08,964529.0,49.86,1057678.0,54.68,1101301.0,56.93,1214986.0,62.81,0,0,3,3
28,Nevada,NV,25.7,60.0,890257,63276,68567,1143557,1281018,3104614,22,0.0,11.4,224,362,694,86,22,108,16,124,1.26,0.58,0.21,2.05,28.7,138633.0,4.5,380921.0,12.37,1055068.0,34.25,1324736.0,43.01,1441961.0,46.81,1756773.0,57.04,1663131.0,54.0,2012977.0,65.35,1,1,1,1
29,New Hampshire,NH,37.6,64.7,59454,77933,38494,541396,638795,1377529,23,0.0,6.3,145,392,482,204,1,205,29,234,0.39,1.67,0.0,2.06,29.9,81490.0,5.99,179139.0,13.17,452421.0,33.27,783511.0,57.62,798353.0,58.71,892051.0,65.61,870411.0,64.01,1149971.0,84.57,0,0,0,0
30,New Jersey,NJ,41.2,62.7,2002575,85751,233888,3286264,3761229,9288994,24,0.0,7.9,123,396,641,302,314,616,191,807,0.22,2.07,0.0,2.29,27.7,383659.0,4.32,1037920.0,11.69,3965605.0,44.65,5020196.0,56.52,5271010.0,59.34,5995364.0,67.5,5922775.0,66.68,6719157.0,75.65,1,1,1,1
31,New Mexico,NM,27.7,54.1,1010811,51945,43804,793420,940859,2117522,25,0.0,10.0,221,348,703,241,24,265,27,292,0.69,0.75,0.36,1.8,30.9,88738.0,4.23,253534.0,12.09,847535.0,40.42,1100463.0,52.48,1215174.0,57.95,1402965.0,66.91,1318211.0,62.87,1552018.0,74.02,1,1,1,1
32,North Carolina,NC,32.3,58.4,1118596,57341,238015,4046348,4708710,10439388,27,0.0,11.3,221,393,630,730,441,1171,96,1267,0.13,1.31,0.63,2.07,33.6,330758.0,3.15,1050246.0,10.01,3491025.0,33.29,4282082.0,40.83,4780238.0,45.58,5732252.0,54.65,5642296.0,53.8,7199639.0,68.65,1,1,0,0
33,North Dakota,ND,30.4,67.3,33412,64577,24654,323519,370642,779094,28,0.0,6.9,156,334,659,321,0,321,12,333,0.09,4.27,0.0,4.36,33.1,58099.0,7.62,122026.0,16.01,272862.0,35.81,315058.0,41.34,308432.0,40.47,352910.0,46.31,365337.0,47.94,424234.0,55.67,0,0,0,0
34,Ohio,OH,29.3,60.5,521308,58642,250981,4730340,5242524,11799448,29,0.0,6.6,222,362,643,913,0,913,295,1208,0.21,2.38,0.26,2.85,35.5,375675.0,3.21,1162381.0,9.94,4340110.0,37.13,4978466.0,42.59,5539574.0,47.39,5998237.0,51.31,6096447.0,52.15,6570692.0,56.21,0,0,0,0
35,Oklahoma,OK,26.2,57.6,471931,54449,93761,1495151,1746807,3959353,30,0.0,14.3,214,383,625,456,0,456,61,517,0.77,1.55,0.54,2.86,36.4,251032.0,6.34,572876.0,14.48,1260212.0,31.85,1571930.0,39.73,1670468.0,42.22,2041864.0,51.6,2012852.0,50.87,2416280.0,61.06,0,0,0,0
36,Oregon,OR,34.5,59.3,588757,67058,119074,1649352,1813747,4237256,31,0.0,7.2,224,358,624,251,0,251,62,313,0.06,1.38,0.22,1.65,28.1,289506.0,6.86,566952.0,13.44,1484308.0,35.19,2030348.0,48.14,2382454.0,56.49,2596102.0,61.55,2667323.0,63.24,2908539.0,68.96,1,1,1,1
37,Pennsylvania,PA,32.3,60.0,1049615,63463,303224,5119249,5742828,13002700,38,0.0,5.8,125,366,659,1675,240,1915,292,2207,0.28,2.49,0.0,2.77,31.5,403898.0,3.15,1269266.0,9.91,4629086.0,36.16,6727935.0,52.55,6853123.0,53.53,8617751.0,67.32,7430988.0,58.05,10349983.0,80.85,1,1,0,0
38,Rhode Island,RI,34.8,62.2,182101,71169,28801,407174,483474,1097379,39,0.0,4.1,133,360,478,44,0,44,28,72,0.0,2.07,0.0,2.07,30.1,30711.0,2.9,81085.0,7.65,471623.0,44.52,593817.0,56.05,657237.0,62.04,723610.0,68.31,765072.0,72.22,873059.0,82.41,1,1,1,1
39,South Carolina,SC,29.6,56.7,352838,56227,111926,1975915,2344963,5118425,40,0.0,10.8,217,395,630,207,97,304,99,403,0.53,1.06,0.76,2.34,36.2,126831.0,2.46,475116.0,9.23,1667179.0,32.38,2034116.0,39.51,2149335.0,41.75,2539624.0,49.33,2611989.0,50.73,3030535.0,58.86,0,0,0,0
40,South Dakota,SD,29.7,65.4,38741,59533,27108,353799,393375,886667,41,0.0,10.2,128,335,639,318,0,318,13,331,0.23,4.3,0.24,4.77,33.2,73029.0,8.26,152655.0,17.26,370343.0,41.86,419643.0,47.44,419524.0,47.42,475002.0,53.69,473861.0,53.56,562553.0,63.59,0,0,0,0
41,Tennessee,TN,28.7,58.6,479187,56071,139760,2654737,3031605,6910840,42,0.0,10.1,225,371,633,322,3,325,105,430,0.76,1.44,0.49,2.69,35.6,313510.0,4.59,675421.0,9.89,1911401.0,27.99,2454282.0,35.94,2793047.0,40.9,3299508.0,48.31,3276746.0,47.98,3747752.0,54.88,0,0,0,0
42,Texas,TX,30.8,61.7,11441717,64034,609476,9985126,11589324,29145505,43,0.0,18.4,218,397,631,1161,74,1235,301,1536,0.96,0.97,0.32,2.25,35.8,843836.0,2.91,2589885.0,8.93,8629882.0,29.76,11467096.0,39.55,13255217.0,45.71,16022957.0,55.26,15762156.0,54.36,18384416.0,63.4,0,0,0,0
43,Utah,UT,34.8,67.2,492912,75780,83924,1023855,1151414,3271616,44,0.0,9.7,212,343,694,155,10,165,45,210,0.55,0.95,0.26,1.77,28.6,88190.0,2.75,284458.0,8.87,928347.0,28.96,1352037.0,42.17,1482029.0,46.23,1745572.0,54.45,1747307.0,54.5,1987613.0,62.0,0,0,0,0
44,Vermont,VT,38.7,63.1,15504,63001,20829,262767,334318,643077,45,0.0,4.5,113,475,701,222,0,222,10,232,0.0,2.04,0.0,2.04,26.3,31208.0,5.0,68654.0,11.0,292678.0,46.9,403357.0,64.64,419701.0,67.26,470426.0,75.39,451998.0,72.44,520166.0,83.36,0,1,1,1
45,Virginia,VA,39.6,61.5,908749,76456,203467,3191847,3618247,8631393,46,0.0,7.9,162,399,638,393,121,514,107,621,0.42,1.5,0.2,2.13,32.2,219823.0,2.58,912014.0,10.68,3483545.0,40.81,4409155.0,51.66,4766294.0,55.84,5447452.0,63.82,5500834.0,64.45,6341270.0,74.29,1,1,1,1
46,Washington,WA,37.0,61.2,1059213,78687,195105,2932477,3202241,7705281,47,0.0,6.6,223,361,630,192,209,401,76,477,0.1,1.18,0.38,1.66,28.0,436421.0,5.73,1030812.0,13.54,2921812.0,38.37,3864410.0,50.75,4454780.0,58.5,4970559.0,65.27,4884881.0,64.15,5357494.0,70.36,1,1,1,1
47,West Virginia,WV,21.1,50.4,34827,48850,35795,728175,855635,1793716,48,0.0,6.7,121,387,643,385,1,386,52,438,0.54,2.78,0.24,3.56,39.1,104023.0,5.8,217613.0,12.14,594018.0,33.15,694435.0,38.75,701936.0,39.17,828880.0,46.25,737324.0,41.14,883209.0,49.28,0,0,0,0
48,Wisconsin,WI,31.3,63.8,447290,64168,141635,2386623,2727726,5893718,49,0.0,5.7,226,337,655,671,1,672,121,793,0.08,1.96,0.0,2.04,32.3,153227.0,2.63,581413.0,9.99,2519993.0,43.28,2902335.0,49.85,3068121.0,52.69,3334077.0,57.26,3426672.0,58.85,3711631.0,63.75,1,1,0,0
49,Wyoming,WY,29.1,61.9,59046,65003,21578,233128,271887,576851,50,0.0,12.3,120,341,642,114,8,122,19,141,0.36,0.54,2.54,3.44,30.7,27132.0,4.69,71653.0,12.38,180182.0,31.13,210179.0,36.32,215625.0,37.26,248225.0,42.89,259238.0,44.79,301660.0,52.12,0,0,0,0
